,sharpe,mu,sigma
tf_strat_0,0.3337078436015478,0.012285447896600799,0.03681498092466118
tf_strat_1,0.05692448173993779,0.00249157794987509,0.043769883777914444
tf_strat_2,0.3205902855864937,0.031898663942597105,0.09949978329580732
tf_strat_3,0.28639208228904,0.028346122941306673,0.09897662922363358
tf_strat_4,0.29068655722841824,0.011072331396809965,0.03809027669659127
mr_strat_0,-0.3663682367664358,-0.013487839647958078,0.03681498092466116
mr_strat_1,-0.10043011965074942,-0.004395814664915343,0.04376988377791444
mr_strat_2,-0.40771967084345406,-0.04056801889436157,0.09949978329580732
mr_strat_3,-0.3751787998452913,-0.03713393296485523,0.09897662922363358
mr_strat_4,-0.3254164429652012,-0.012395202354165025,0.03809027669659126
